Analyte ID	Analyte Name	State Code	PWSID	System Name	System Type	Retail Population Served	Adjusted Total Population Served	Source Water Type	Water Facility ID	Water Facility Type	Sampling Point ID	Sampling Point Type	Source Type Code	Sample Type Code	Laboratory Assigned ID	Six Year ID	Sample ID	Sample Collection Date	Detection Limit Value	Detection Limit Unit	Detection Limit Code	Detect	Value	Unit	Presence Indicator Code	Residual Field Free Chlorine mg/L	Residual Field Total Chlorine mg/L
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594071	TP	638715		FN			29439586		2007-08-21 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594071	TP	638715		FN			29388847		2008-08-11 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594080	WL	638724		RW			35515070		2006-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610004	WEST VALLEY WATER DISTRICT	C	66655	66655	SW	594080	WL	638724		RW			35450275		2008-06-25 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610008	BIG BEAR CITY CSD	C	10000	10000	GW	594129	WL	638773		RW			30391295		2008-07-02 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610008	BIG BEAR CITY CSD	C	10000	10000	GW	594131	WL	638775		RW			36901249		2011-06-15 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610013	LOMA LINDA, CITY OF	C	22451	22451	GW	594234	WL	638878		RW			29389279		2008-09-04 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610013	LOMA LINDA, CITY OF	C	22451	22451	GW	594234	WL	638878		RW			29373990		2009-09-02 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610013	LOMA LINDA, CITY OF	C	22451	22451	GW	594235	WL	638879		RW			31164044		2009-09-02 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610013	LOMA LINDA, CITY OF	C	22451	22451	GW	594241	WL	638885		RW			30148329		2006-01-04 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610013	LOMA LINDA, CITY OF	C	22451	22451	GW	594241	WL	638885		RW			30148026		2006-10-04 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610014	COLTON, CITY OF	C	57125	57125	GW	594268	WL	638912		RW			29135049		2006-08-16 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610018	CUCAMONGA VALLEY WATER DISTRICT	C	182586	182586	SW	594369	RS	639013		RW			31644796		2011-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610018	CUCAMONGA VALLEY WATER DISTRICT	C	182586	182586	SW	594390	RS	639034		RW			30696327		2011-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610018	CUCAMONGA VALLEY WATER DISTRICT	C	182586	182586	SW	594395	WL	639039		RW			31640251		2007-01-03 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610025	JOSHUA BASIN WATER DISTRICT	C	8137	8137	GW	594539	WL	639183		RW			31864098		2010-09-08 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610029	MONTE VISTA CWD	C	52488	52488	GW	594562	WL	639206		RW			35353041		2010-07-15 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610029	MONTE VISTA CWD	C	52488	52488	GW	594565	WL	639209		RW			28904051		2007-07-16 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610029	MONTE VISTA CWD	C	52488	52488	GW	594565	WL	639209		RW			28984740		2010-07-12 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA3610029	MONTE VISTA CWD	C	52488	52488	GW	594578	WL	639222		RW			30009030		2010-07-14 00:00:00.000	0.200000000	MFL	MDL	0					
